Incident Year,Month,Incident Category,Incident Datetime
2020,2,Missing Person,256
2020,2,Motor Vehicle Theft,480
2020,2,Non-Criminal,668
2020,2,Offences Against The Family And Children,228
2020,2,Other,96
2020,2,Other Miscellaneous,813
2020,2,Other Offenses,95
2020,2,Prostitution,15
2020,2,Rape,2
2020,2,Recovered Vehicle,375
2020,2,Robbery,325
2020,2,Sex Offense,31
2020,2,Stolen Property,48
2020,2,Suicide,3
2020,2,Suspicious,4
2020,2,Suspicious Occ,185
2020,2,Traffic Collision,18
2020,2,Traffic Violation Arrest,152
2020,2,Vandalism,14
2020,2,Vehicle Impounded,11
2020,2,Vehicle Misplaced,11
2020,2,Warrant,403
2020,2,Weapons Carrying Etc,49
2020,2,Weapons Offense,80
2020,3,Arson,31
2020,3,Assault,580
2020,3,Burglary,495
2020,3,Case Closure,18
2020,3,Civil Sidewalks,4
2020,3,Courtesy Report,15
2020,3,Disorderly Conduct,156
2020,3,Drug Offense,163
2020,3,Drug Violation,2
2020,3,Embezzlement,21
2020,3,Family Offense,20
2020,3,Fire Report,5
2020,3,Forgery And Counterfeiting,38
2020,3,Fraud,205
2020,3,"Human Trafficking, Commercial Sex Acts",1
2020,3,Juvenile Offenses,1
2020,3,Larceny Theft,2432
2020,3,Lost Property,217
2020,3,Malicious Mischief,638
2020,3,Miscellaneous Investigation,93
2020,3,Missing Person,226
2020,3,Motor Vehicle Theft,494
2020,3,Motor Vehicle Theft?,1
2020,3,Non-Criminal,587
2020,3,Offences Against The Family And Children,202
2020,3,Other,99
2020,3,Other Miscellaneous,758
2020,3,Other Offenses,73
2020,3,Prostitution,2
2020,3,Rape,1
2020,3,Recovered Vehicle,360
2020,3,Robbery,257
2020,3,Sex Offense,21
2020,3,Stolen Property,69
2020,3,Suicide,4
2020,3,Suspicious,3
2020,3,Suspicious Occ,188
2020,3,Traffic Collision,22
2020,3,Traffic Violation Arrest,94
2020,3,Vandalism,25
2020,3,Vehicle Impounded,4
2020,3,Vehicle Misplaced,7
2020,3,Warrant,273
2020,3,Weapons Carrying Etc,47
2020,3,Weapons Offence,1
2020,3,Weapons Offense,49
2020,4,Arson,38
2020,4,Assault,449
2020,4,Burglary,660
2020,4,Case Closure,7
2020,4,Civil Sidewalks,2
2020,4,Courtesy Report,6
2020,4,Disorderly Conduct,130
2020,4,Drug Offense,82
2020,4,Drug Violation,2
2020,4,Embezzlement,4
2020,4,Family Offense,8
2020,4,Fire Report,14
2020,4,Forgery And Counterfeiting,29
2020,4,Fraud,114
2020,4,"Human Trafficking, Commercial Sex Acts",1
2020,4,Larceny Theft,1664
2020,4,Lost Property,101
2020,4,Malicious Mischief,662
2020,4,Miscellaneous Investigation,86
2020,4,Missing Person,149
2020,4,Motor Vehicle Theft,496
2020,4,Non-Criminal,451
2020,4,Offences Against The Family And Children,166
2020,4,Other,90
2020,4,Other Miscellaneous,696
2020,4,Other Offenses,73
2020,4,Prostitution,4
2020,4,Recovered Vehicle,344
2020,4,Robbery,166
2020,4,Sex Offense,8
2020,4,Stolen Property,55
2020,4,Suicide,5
2020,4,Suspicious Occ,158
2020,4,Traffic Collision,11
2020,4,Traffic Violation Arrest,67
2020,4,Vandalism,34
2020,4,Vehicle Impounded,7
2020,4,Vehicle Misplaced,2
2020,4,Warrant,167
2020,4,Weapons Carrying Etc,21
2020,4,Weapons Offence,2
2020,4,Weapons Offense,54
2020,5,Arson,13
2020,5,Assault,92
2020,5,Burglary,128
2020,5,Civil Sidewalks,1
2020,5,Courtesy Report,3
2020,5,Disorderly Conduct,31
2020,5,Drug Offense,37
2020,5,Drug Violation,1
2020,5,Family Offense,3
2020,5,Fire Report,3
2020,5,Forgery And Counterfeiting,5
2020,5,Fraud,18
2020,5,Larceny Theft,237
2020,5,Lost Property,7
2020,5,Malicious Mischief,116
2020,5,Miscellaneous Investigation,22
2020,5,Missing Person,21
2020,5,Motor Vehicle Theft,110
2020,5,Motor Vehicle Theft?,1
2020,5,Non-Criminal,102
2020,5,Offences Against The Family And Children,32
2020,5,Other,24
2020,5,Other Miscellaneous,144
2020,5,Other Offenses,21
2020,5,Recovered Vehicle,83
2020,5,Robbery,33
2020,5,Sex Offense,6
2020,5,Stolen Property,7
2020,5,Suicide,1
2020,5,Suspicious,2
2020,5,Suspicious Occ,32
2020,5,Traffic Collision,2
2020,5,Traffic Violation Arrest,16
2020,5,Vandalism,6
2020,5,Vehicle Misplaced,1
2020,5,Warrant,39
2020,5,Weapons Carrying Etc,15
2020,5,Weapons Offense,17
